Nom,Date,Prix,Location,Organisateur,Statut,Thèmes,Nombres de Particpants
CodeXtreme 2025,"Feb 26 - Mar 01, 2025","$6,000",ALU Rwanda,CodeXtreme,Upcoming,Open Ended Social Good,353 participants
SEIT Hackathon,"Mar 22 - 23, 2025","$CAD 1,000",Oshawa North Campus - CIR 102,Durham College,Upcoming,Beginner Friendly Social Good,64 participants
Hack the Bronx 4,"May 26 - Jun 01, 2025","$1,300",Online,Horace Mann School,Upcoming,Beginner Friendly Open Ended Social Good,13 participants
Hack The Spring'25,"Feb 27 - Mar 01, 2025","₹ 18,000",Gandhinagar,Government Engineering College,Upcoming,Beginner Friendly Machine Learning/AI Web,3 participants
HackUNCP 2025,"Mar 22 - 23, 2025","$3,000","Pembroke, NC, USA",AI@UNCP,Upcoming,Beginner Friendly Machine Learning/AI,25 participants
"MLX (Machine Learning Xtreme) Hackathon - Code, Train, Deploy!","Feb 01 - 26, 2025",$0,Online,MLX hackathon Team,1 day left,Beginner Friendly Databases Machine Learning/AI,246 participants
Hibat Sustainability Challenge,"Feb 28, 2025",1,Khunaijer - Hibat Studio,Hibat,Upcoming,Lifehacks Open Ended Social Good,5 participants
Scrapyard İstanbul,"Mar 15 - 16, 2025",$0,Konumumuz en kısa sürede açıklanacak!,Hack Club,Upcoming,Gaming Mobile Web,5 participants
NextNiche,"Feb 23 - Mar 20, 2025","₹ 75,000","Army Institute of Technology, Pune","I&E Cell, AIT Pune",23 days left,Beginner Friendly Lifehacks Open Ended,15 participants
Global AI Agents League,"Feb 14 - Apr 08, 2025","$10,000",Online,Fetch.ai,about 1 month left,Blockchain Fintech Machine Learning/AI,351 participants
RevolutionUC,"Mar 01 - 02, 2025","$11,630",1819 Innovation Hub,ACM@UC,Upcoming,Beginner Friendly Open Ended,13 participants
2025 Crack the Code Hackathon @ Concordia University Irvine,"Mar 22 - 23, 2025","$1,485",Grimm Hall @ Concordia University Irvine,Crack the Code,Upcoming,Machine Learning/AI Beginner Friendly Cybersecurity,3 participants
BlossomHack 2025,"Mar 22 - 23, 2025","$4,725",Online,BlossomHacks,Upcoming,Beginner Friendly Cybersecurity Open Ended,123 participants
"Startup Program - Invitation only, participants from ZIBS ecosystem only","Oct 29, 2024 - May 20, 2025",$0,Hai Club,ZIBS,3 months left,Beginner Friendly Low/No Code Open Ended,151 participants
Tech Titans Hack Fest,"Apr 17 - 19, 2025","$199,396",Thunderbird High School,Tech Titans,Upcoming,Education Open Ended Web,13 participants
Startup Week Buildathon,"Mar 01 - 02, 2025","$4,280",Verci Flatiron,Tech@NYU,Upcoming,Beginner Friendly Blockchain Machine Learning/AI,134 participants
ImpactHack 2025,"Nov 22 - 23, 2025",£500,Glasgow,university of strathclyde,Upcoming,Beginner Friendly Machine Learning/AI Social Good,6 participants
LG Hacks,"Mar 23, 2025","$74,700",Leigh High School,CodeCraft Academy,Upcoming,Beginner Friendly Design Web,13 participants
ViTAL Hacks,"Mar 29, 2025",$0,Online,Northeastern Unversity,Upcoming,Beginner Friendly Health Social Good,41 participants
The Gated NFTs University Regional Hackathon,"Feb 15 - May 15, 2025","$3,225",Online,BitBadges,3 months left,Blockchain E-commerce/Retail Web,42 participants
Healthcare Hackathon with AI (H2AI),"Mar 14 - 16, 2025","$15,000","Fisher Colloquium, Hariri Building",Georgetown University H2AI,Upcoming,Health Machine Learning/AI Beginner Friendly,53 participants
CUhackit 2025,"Mar 08, 2025",1,Clemson School of Computing,MLH,Upcoming,Beginner Friendly Social Good Open Ended,4 participants
Hack Cupertino 2025,"Apr 12 - 13, 2025","$1,400",Quinlan Community Center,City of Cupertino,Upcoming,Beginner Friendly Social Good Design,5 participants
AlphaByte 2.0,"Mar 01 - 02, 2025","₹ 45,000",Online,pccoe,Upcoming,Cybersecurity Machine Learning/AI Web,2 participants
Electroneum Hackathon 2025,"Jan 08 - Mar 07, 2025","$52,500",Online,Electroneum,10 days left,Blockchain Beginner Friendly Open Ended,1120 participants
Hoya Hacks 2026,"Jan 23 - 25, 2026","$4,500",Healey Family Student Center,Hoya Hacks,Upcoming,Beginner Friendly,4 participants
IATA ONE Record Hackathon,"Feb 24 - 25, 2025","$12,000",The Convention Centre Dublin,iata,about 3 hours left,IoT Machine Learning/AI AR/VR,104 participants
Hornet Hacks 2.0,"Feb 28 - Mar 07, 2025","$2,000",Carlsen Center,ACM at CSUS,Upcoming,Open Ended,109 participants
Cal Poly Humboldt Hackathon for Social Good 2025,"Mar 08 - 09, 2025",3,"HGH, Cal Poly Humboldt",Cal Poly Humboldt Computer Science Club,Upcoming,Beginner Friendly Social Good,22 participants
‎,"Jun 08 - 22, 2025",$100,Online,PANDA Organization,Upcoming,Productivity Beginner Friendly Social Good,76 participants
Hack like W@CC,"Mar 02, 2025",1,College of Computing Room 016,Women at College of Computing @ GT,Upcoming,Design Education Social Good,11 participants
Coexistence with AI: UofT AI Ethics Hackathon,"Mar 08, 2025",1,Bahen Centre for Information Technology,WiCS,Upcoming,Beginner Friendly Low/No Code Social Good,3 participants
CodePi 2025.1,"Feb 16 - May 25, 2025",$0,Online,CodePi,3 months left,Education Low/No Code Social Good,41 participants
ScaleU + PIA: AI Agents in Education,"Mar 11 - 13, 2025","$9,000",Memorial Union,ASU RealmSpark,Upcoming,Education Enterprise,10 participants
iSTEM Hacks - Go from idea to launch in one week,"Mar 08 - 15, 2025",$500,Online,stevens insitute of technology,Upcoming,Beginner Friendly Design Social Good,31 participants
